"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.41280000000E+009, +5.63092802612E+000, +0.00000000000E+000
+2.41360000000E+009, +5.66877951472E+000, +0.00000000000E+000
+2.41440000000E+009, +5.68567041929E+000, +0.00000000000E+000
+2.41520000000E+009, +5.69517716021E+000, +0.00000000000E+000
+2.41600000000E+009, +5.68970410330E+000, +0.00000000000E+000
+2.41680000000E+009, +5.66140805749E+000, +0.00000000000E+000
+2.41760000000E+009, +5.62680459669E+000, +0.00000000000E+000
+2.41840000000E+009, +5.55509535241E+000, +0.00000000000E+000
+2.41920000000E+009, +5.48177609432E+000, +0.00000000000E+000
+2.42000000000E+009, +5.40960990114E+000, +0.00000000000E+000
+2.42080000000E+009, +5.33632698295E+000, +0.00000000000E+000
+2.42160000000E+009, +5.27263750612E+000, +0.00000000000E+000
+2.42240000000E+009, +5.21277334491E+000, +0.00000000000E+000
+2.42320000000E+009, +5.15511879230E+000, +0.00000000000E+000
+2.42400000000E+009, +5.13380710063E+000, +0.00000000000E+000
+2.42480000000E+009, +5.10428863865E+000, +0.00000000000E+000
+2.42560000000E+009, +5.10246571668E+000, +0.00000000000E+000
+2.42640000000E+009, +5.10818530987E+000, +0.00000000000E+000
+2.42720000000E+009, +5.10929736530E+000, +0.00000000000E+000
+2.42800000000E+009, +5.10983116192E+000, +0.00000000000E+000
+2.42880000000E+009, +5.10940455090E+000, +0.00000000000E+000
+2.42960000000E+009, +5.10664447474E+000, +0.00000000000E+000
+2.43040000000E+009, +5.10183206762E+000, +0.00000000000E+000
+2.43120000000E+009, +5.07584854686E+000, +0.00000000000E+000
+2.43200000000E+009, +5.04278147658E+000, +0.00000000000E+000
+2.43280000000E+009, +4.98913024531E+000, +0.00000000000E+000
+2.43360000000E+009, +4.91061690638E+000, +0.00000000000E+000
+2.43440000000E+009, +4.83161149992E+000, +0.00000000000E+000
+2.43520000000E+009, +4.74395635872E+000, +0.00000000000E+000
+2.43600000000E+009, +4.65844130692E+000, +0.00000000000E+000
+2.43680000000E+009, +4.59361079125E+000, +0.00000000000E+000
+2.43760000000E+009, +4.53242881987E+000, +0.00000000000E+000
+2.43840000000E+009, +4.47586565695E+000, +0.00000000000E+000
+2.43920000000E+009, +4.43625941083E+000, +0.00000000000E+000
+2.44000000000E+009, +4.39235635433E+000, +0.00000000000E+000
+2.44080000000E+009, +4.36844022013E+000, +0.00000000000E+000
+2.44160000000E+009, +4.34387324260E+000, +0.00000000000E+000
+2.44240000000E+009, +4.31553699444E+000, +0.00000000000E+000
+2.44320000000E+009, +4.28538682892E+000, +0.00000000000E+000
+2.44400000000E+009, +4.24987866386E+000, +0.00000000000E+000
+2.44480000000E+009, +4.20667865133E+000, +0.00000000000E+000
+2.44560000000E+009, +4.16028889929E+000, +0.00000000000E+000
+2.44640000000E+009, +4.09776146972E+000, +0.00000000000E+000
+2.44720000000E+009, +4.02735069490E+000, +0.00000000000E+000
+2.44800000000E+009, +3.93549555252E+000, +0.00000000000E+000
+2.44880000000E+009, +3.83059200180E+000, +0.00000000000E+000
+2.44960000000E+009, +3.72646598548E+000, +0.00000000000E+000
+2.45040000000E+009, +3.62130630736E+000, +0.00000000000E+000
+2.45120000000E+009, +3.51956285456E+000, +0.00000000000E+000
+2.45200000000E+009, +3.44007873887E+000, +0.00000000000E+000
+2.45280000000E+009, +3.35920850700E+000, +0.00000000000E+000
+2.45360000000E+009, +3.29042073148E+000, +0.00000000000E+000
+2.45440000000E+009, +3.23232597428E+000, +0.00000000000E+000
+2.45520000000E+009, +3.17157459534E+000, +0.00000000000E+000
+2.45600000000E+009, +3.11853856684E+000, +0.00000000000E+000
+2.45680000000E+009, +3.06373527474E+000, +0.00000000000E+000
+2.45760000000E+009, +3.00026067999E+000, +0.00000000000E+000
+2.45840000000E+009, +2.93297992660E+000, +0.00000000000E+000
+2.45920000000E+009, +2.84980338935E+000, +0.00000000000E+000
+2.46000000000E+009, +2.75265973864E+000, +0.00000000000E+000
+2.46080000000E+009, +2.64894632731E+000, +0.00000000000E+000
+2.46160000000E+009, +2.52625181131E+000, +0.00000000000E+000
+2.46240000000E+009, +2.40344635926E+000, +0.00000000000E+000
+2.46320000000E+009, +2.26423949126E+000, +0.00000000000E+000
+2.46400000000E+009, +2.12136449025E+000, +0.00000000000E+000
+2.46480000000E+009, +1.99184297987E+000, +0.00000000000E+000
